[3462] ORT M. H., COIRA B., MAZZONI M. M. ; GENERATION OF A CRUST-MANTLE MIXTURE: MAGMA SOURCES AND CONTAMINATION AT CERRO PANIZOS, CENTRAL ANDES ; CONTRIB. MINERAL. PETROL. 123 [1996] 308-322
[3464] SPARKS R. S. J., FRANCIS P. W., HAMER R. D., PANKHURST R. J., O^CALLAGHAN L. O., THORPE R. S., PAGE R. W. ; IGNIMBRITES OF THE CERRO GALAN CALDERA, NW ARGENTINA ; J. VOLCANOL. GEOTHERM. RES. 24 [1985] 205-248
[3465] THORPE R. S., FRANCIS P. W., MOORBATH S. ; RARE EARTH AND STRONTIUM ISOTOPE EVIDENCE CONCERNING THE PETROGENESIS OF NORTH CHILEAN IGNIMBRITES ; EARTH PLANET. SCI. LETT. 42 [1979] 359-367
[3469] MCNUTT R. H., CROCKET J. H., CLARK A. H., CAELLES J. C., FARRAR E., HAYNES S. J., ZENTILLI M. ; INITIAL SR8/SR86 RATIOS OF PLUTONIC AND VOLCANIC ROCKS OF THE CENTRAL ANDES BETWEEN LATITUDES 26° AND 29° SOUTH ; EARTH PLANET. SCI. LETT. 27 [1975] 305-313
[3480] SIGMARSSON O., CONDOMINES M., MORRIS J., HARMON R. S. ; URANIUM AND 10BE ENRICHMENTS BY FLUIDS IN ANDEAN ARC MAGMAS ; NATURE 346 [1990] 163-165
[3626] BARREIRO B. A., CLARK A. H. ; LEAD ISOTOPIC EVIDENCE FOR EVOLUTIONARY CHANGES IN MAGMA-CRUST INTERACTION, CENTRAL ANDES, SOUTHERN PERU ; EARTH PLANET. SCI. LETT. 69 [1984] 30-42
[3627] DAVIDSON J. P., FERGUSON K. M., COLUCCI M. T., DUNGAN M. A. ; THE ORIGIN AND EVOLUTION OF MAGMAS FROM THE SAN PEDRO-PELLADO VOLCANIC COMPLEX, S CHILE: MULTICOMPONENT SOURCES AND OPEN SYSTEM EVOLUTION ; CONTRIB. MINERAL. PETROL. 100 [1988] 429-445
[3629] FRANCIS P. W., MOORBATH S., THORPE R. S. ; STRONTIUM ISOTOPE DATA FOR RECENT ANDESITES IN ECUADOR AND N ORTH CHILE ; EARTH PLANET. SCI. LETT. 37 [1977] 197-202
[3631] HICKEY R. L., FREY F. A., GERLACH D. C., LOPEZ-ESCOBAR L. ; MULTIPLE SOURCES FOR BASALTIC ARC ROCKS FROM THE SOUTHERN VOLCANIC ZONE OF THE ANDES (34°-41° S): TRACE ELEMENT AND ISOTOPIC EVIDENCE FOR CONTRIBUTIONS FROM SUBDUCTED OCEANIC CRUST, MANTLE AND CONTINENTAL CRUST ; J. GEOPHYS. RES. B91 [1986] 5963-5983
[3634] DAVIDSON J. P., DUNGAN M. A., FERGUSON K. M., COLUCCI M. T. ; CRUST-MAGMA INTERACTIONS AND THE EVOLUTION OF ARC MAGMAS: THE SAN PEDRO-PELLADO VOLCANIC COMPLEX, SOUTHERN CHILEAN ANDES ; GEOLOGY 15 [1987] 443-446
[3639] FERGUSON K. M., DUNGAN M. A., DAVIDSON J. P., COLUCCI M. T. ; THE TATARA-SAN PEDRO VOLCANO, 36°S, CHILE: A CHEMICALLY VARIABLE, DOMINANTLY MAFIC MAGMATIC SYSTEM ; J. PETROL. 33 [1992] 1-43
[3643] GRUNDER A. L., MAHOOD G. A. ; PHYSICAL AND CHEMICAL MODELS OF ZONED SILICIC MAGMAS: THE LOMA SECA TUFF AND CALABOZOS CALDERA, SOUTHERN ANDES ; J. PETROL. 29 [1988] 831-867
[3648] TORMEY D. R., FREY F. A., LOPEZ-ESCOBAR L. ; GEOCHEMISTRY OF THE ACTIVE AZUFRE-PLANCHON-PETEROA VOLCANIC COMPLEX, CHILE (35°15'S): EVIDENCE FOR MULTIPLE SOURCES AND PROCESSES IN A CORDILLERAN ARC MAGMATIC SYSTEM ; J. PETROL. 36 [1995] 265-298
[3715] GRUNDER A. L. ; LOW D18O SILICIC VOLCANIC ROCKS AT THE CALABOZOS CALDERA COMPLEX, SOUTHERN ANDES ; CONTRIB. MINERAL. PETROL. 95 [1987] 71-81
[3716] LOPEZ-ESCOBAR L., MORENOROA H., TAGIRI M., NOTSU K., ONUMA N. ; GEOCHEMISTRY OF LAVAS FROM SAN JOSE VOLCANO, SOUTHERN ANDES (33°45'S) ; GEOCHEM. J. 19 [1985] 209-222
[3800] JAMES D. E., BROOKS C. K., CUYUBAMBA A. ; ANDEAN CENOZOIC VOLCANISM: MAGMA GENESIS IN THE LIGHT OF STRONTIUM ISOTOPIC COMPOSITION AND TRACE ELEMENT GEOCHEMISTRY ; YEAR BOOK CARNEGIE INST. WASHINGTON 73 [1974] 983-997
[3801] TILTON G. R., BAREIRO B. ; ORIGIN OF LEAD IN ANDEAN CALC-ALKALINE LAVAS, SOUTHERN PERU ; SCIENCE 210 [1980] 1245-1247
[3802] VENTURELLI G., FRAGIPANE M., WEIBEL M., ANTIGA D. ; TRACE ELEMENT DISTRIBUTION IN THE CENOZOIC LAVAS OF NEVADO COROPUNA AND ANDAGUA VALLEY, CENTRAL ANDES OF SOUTHERN PERU ; BULL. VOLCANOL. 41 [1978] 213-228
[3803] WHITFORD D. J. ; RARE EARTH ELEMENT ABUNDANCES IN LATE-CENOZOIC LAVAS FROM THE PERUVIAN ANDES: A PRELIMINARY REPORT ; YEAR BOOK CARNEGIE INST. WASHINGTON 76 [1977] 840-844
[3804] VATIN-PERIGNON N., OLIVER R. A., GOEMANS P., KELLER F., BRIQUEU L., SALAS A. G. ; GEODYNAMIC INTERPRETATIONS OF PLATE SUBDUCTION IN THE NORTHERNMOST PART OF THE CENTRAL VOLCANIC ZONE FROM THE GEOCHEMICAL EVOLUTION AND QUANTIFICATION OF THE CRUSTAL CONTAMINATION OF THE NEVADO SOLIMANA VOLCANO, SOUTHERN PERU ; TECTONOPHYSICS 205 [1992] 329-355
[3805] LE BEL L., COCHERIE A., BAUBRON J. C., FOUILLAC A. M., HAWKESWORTH C. J. ; A HIGH-K, MANTLE DERIVED PLUTONIC SUITE FROM LINGA, NEAR AREQUIPA (PERU) ; J. PETROL. 26 [1985] 124-148
[3830] SWANSON E. R., KEIZER R. P., LYONS J. I., CLABAUGH S. E. ; TERTIARY VOLCANISM AND CALDERA DEVELOPMENT NEAR DURANGO CITY, SIERRA MADRE OCCIDENTAL, MEXICO ; BULL. GEOL. SOC. AM. 89 [1978] 1000-1012
[3831] HICKEY-VARGAS R., MORENOROA H., LOPEZ-ESCOBAR L., FREY F. A. ; GEOCHEMICAL VARIATIONS IN BASALTIC AND SILICIC LAVAS FROM THE VILLARICA-LANIN VOLCANIC CHAIN (39.5°S): AN EVALUATION OF SOURCE HETEROGENEITY, FRACTIONAL CRYSTALLIZATION, AND CRUSTAL ASSIMILATION ; CONTRIB. MINERAL. PETROL. 103 [1989] 361-386
[3878] KRAEMER B., ADELMANN D., ALTEN M., SCHNURR W. B. W., ERPENSTEIN K., KIEFER E., VAN DEN BOGAARD P., GÖRLER K. ; INCORPORATION OF THE PALEOGENE FORELAND INTO THE NEOGENE PUNA PLATEAU: THE SALAR DE ANTOFALLA AREA, NW ARGENTINA ; J. S. AMER. EARTH SCI. 12 [1999] 157-182
[3880] VATIN-PERIGNON N., PIER J. G., OLIVER R. A., LAVENU A., LABRIN E., KELLER F., BELLOT-GURLET L. ; TRACE AND RARE-EARTH ELEMENT CHARACTERISTICS OF ACIDIC TUFFS FROM SOUTHERN PERU AND NORTHERN BOLIVIA AND A FISSION-TRACK AGE FOR THE SILLAR OF AREQUIPA ; J. S. AMER. EARTH SCI. 9 [1996] 91-109
[3908] VERGARA M. M., MUNOZ J. B. ; THE COLA DE ZORRO FORMATION IN THE ANDEAN CORDILLERAOF CHILE (36°-39° LAT. S), PETROGRAPHIC AND PETROLOGIC CHARACTERISTICS: A REVISION ; REV. GEOL. CHILE 17 [1982] 31-46
[3910] MORRIS J. D., JEZEK P. A., HART S. R., GILL J. B. ; THE HALMAHERA ISLAND ARC, MOLUCCA SEA COLLISION ZONE, INDONESIA: A GEOCHEMICAL SURVEY| THE TECTONIC AND GEOLOGIC EVOLUTION OF SOUTHEAST ASIAN SEAS AND ISLANDS, PART 2 (HAYES, D. E.), AGU WASHINGTON [1983] 373-387
[3990] CHARRIER R. ; GEOLOGY OF THE MAIN CORDILLERA OF CHILE BETWEEN 34° AND 34°30' S AND THEIR TECTONIC, MAGMATIC AND PALEOGEOGRAPHIC EVOLUTION ; BERLINER GEOWISS. ABH. 36 [1981] 1-270
[3992] WITTENBRINK R. ; TEMPORAL VARIATIONS OF THE MAGMA GENESIS OF MIOCENE AND QUARTERNARY VOLCANIC ROCKS IN THE SOUTHERN PART OF THE CENTRAL VOLCANIC ZONE OF THE ANDES (CVZ, 25°-26°S, 67°-69°W) ; BERLINER GEOWISS. ABH. A 193 [1997] 1-135
[3993] KAY S. M., MPODOZIS C. M., RAMOS V. A., MUNIZAGA F. ; MAFGMA SOURCE VARIATIONS FOR MID-LATE TERTIARY MAGMATIC ROCKS ASSOCIATED WITH A SHALLOWING SUBDUCTION ZONE AND A THICKENING CRUST IN THE CENTRAL ANDES (28 TO 33°S) ; SPEC. PAP. GEOL. SOC. AM. 265 [1991] 113-137
[3994] CINGOLANI C., DALLA SALDA L., HERVÉ F., MUNIZAGA F., PANKHURST R. J., PARADA M. A., RAPELA C. W. ; THE MAGMATIC EVOLUTION OF NOTHERN PATAGONIA: NEW IMPRESIONS OF PRE-ANDEAN AND ANDEAN TECTONICS ; SPEC. PAP. GEOL. SOC. AM. 265 [1991] 29-44
[3995] LOPEZ-ESCOBAR L., TAGIRI M., VERGARA M. M. ; GEOCHEMICAL FEATURES OF SOUTHERN ANDES QUATERNARY VOLCANICS BETWEEN 41°50' AND 43°00' S ; SPEC. PAP. GEOL. SOC. AM. 265 [1991] 45-56
[3996] TORMEY D. R., HICKEY-VARGAS R., FREY F. A., LOPEZ-ESCOBAR L. ; RECENT LAVAS FROM THE ANDEAN VOLCANIC FRONT (33 TO 42°S); INTERPRETATIONS OF ALONG-ARC COMPOSITIONAL VARIATIONS ; SPEC. PAP. GEOL. SOC. AM. 265 [1991] 57-77
